,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
3182,Wisconsin,7.14,0.746,0.22,0.457,0.623,0.441
3184,Adams,4.533,0.672,0.161,0.423,0.506,0.394
3186,Ashland,11.999,0.802,0.107,0.364,0.737,0.484
3188,Barron,7.481,0.796,0.173,0.429,0.704,0.449
3190,Bayfield,8.767,0.762,0.113,0.309,0.64,0.497
3192,Brown,2.072,0.735,0.587,0.599,0.608,0.351
3194,Buffalo,8.072,0.863,0.119,0.365,0.599,0.393
3196,Burnett,2.454,0.727,0.325,0.253,0.582,0.52
3198,Calumet,2.894,0.691,0.35,0.443,0.623,0.431
3200,Chippewa,5.956,0.697,0.21,0.576,0.624,0.42
3202,Clark,10.816,0.59,0.102,0.491,0.668,0.508
3204,Columbia,4.53,0.758,0.309,0.578,0.653,0.417
3206,Crawford,7.014,0.8,0.138,0.376,0.641,0.384
3208,Dane,2.727,0.673,0.572,0.803,0.623,0.388
3210,Dodge,6.097,0.72,0.236,0.603,0.624,0.475
3212,Door,11.358,0.681,0.107,0.507,0.732,0.407
3214,Douglas,5.774,0.785,0.183,0.409,0.57,0.461
3216,Dunn,10.202,0.81,0.123,0.519,0.63,0.377
3218,Eau Claire,3.966,0.754,0.264,0.47,0.59,0.396
3220,Florence,16.089,0.954,0.081,0.347,0.472,0.617
3222,Fond du Lac,5.726,0.737,0.237,0.538,0.647,0.463
3224,Forest,13.33,0.779,0.098,0.359,0.613,0.616
3226,Grant,10.607,0.77,0.151,0.663,0.679,0.397
3228,Green,4.055,0.765,0.248,0.424,0.667,0.354
3230,Green Lake,7.829,0.789,0.134,0.345,0.689,0.43
3232,Iowa,10.844,0.828,0.115,0.475,0.699,0.353
3234,Iron,11.109,0.784,0.094,0.321,0.661,0.48
3236,Jackson,11.614,0.767,0.094,0.408,0.599,0.47
3238,Jefferson,4.327,0.73,0.297,0.525,0.636,0.452
3240,Juneau,6.166,0.654,0.158,0.464,0.57,0.46
3242,Kenosha,1.409,0.627,0.472,0.421,0.477,0.407
3244,Kewaunee,7.562,0.7,0.14,0.373,0.698,0.465
3246,La Crosse,2.458,0.656,0.377,0.455,0.6,0.416
3248,Lafayette,9.55,0.782,0.117,0.425,0.713,0.366
3250,Langlade,9.33,0.735,0.116,0.33,0.655,0.533
