,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
4550,Gray,3.893,0.731,0.203,0.382,0.68,0.297
4552,Greeley,0.625,0.704,0.139,0.213,0.418,0.299
4554,Greenwood,3.665,0.738,0.141,0.233,0.639,0.336
4556,Hamilton,2.314,0.67,0.104,0.24,0.405,0.375
4558,Harper,2.518,0.723,0.234,0.278,0.591,0.371
4560,Harvey,5.831,0.632,0.157,0.413,0.666,0.422
4562,Haskell,3.616,0.83,0.201,0.26,0.612,0.4
4564,Hodgeman,1.327,0.654,0.282,0.266,0.517,0.345
4566,Jackson,7.41,0.719,0.142,0.391,0.76,0.377
4568,Jefferson,8.296,0.691,0.131,0.44,0.67,0.441
4570,Jewell,1.16,0.6,0.383,0.22,0.68,0.332
4572,Johnson,1.354,0.675,0.67,0.528,0.589,0.317
4574,Kearny,5.831,0.844,0.171,0.283,0.726,0.409
4576,Kingman,5.428,0.733,0.164,0.317,0.712,0.396
4578,Kiowa,2.508,0.646,0.293,0.33,0.748,0.32
4580,Labette,2.702,0.636,0.283,0.361,0.572,0.454
4582,Lane,2.441,0.794,0.187,0.237,0.563,0.341
4584,Leavenworth,3.229,0.698,0.269,0.437,0.575,0.387
4586,Lincoln,4.708,0.678,0.105,0.216,0.716,0.305
4588,Linn,6.039,0.704,0.194,0.425,0.66,0.504
4590,Logan,5.799,0.662,0.124,0.239,0.868,0.302
4592,Lyon,6.409,0.658,0.135,0.449,0.543,0.428
4594,Marion,8.371,0.743,0.126,0.333,0.731,0.447
4596,Marshall,12.238,0.758,0.082,0.33,0.819,0.342
4598,McPherson,6.926,0.621,0.162,0.488,0.771,0.402
4600,Meade,3.233,0.698,0.281,0.341,0.75,0.375
4602,Miami,10.175,0.696,0.12,0.493,0.733,0.406
4604,Mitchell,3.272,0.696,0.225,0.304,0.718,0.34
4606,Montgomery,4.483,0.645,0.177,0.419,0.526,0.438
4608,Morris,5.363,0.697,0.153,0.304,0.715,0.39
4610,Morton,1.778,0.617,0.172,0.249,0.434,0.398
4612,Nemaha,9.777,0.681,0.113,0.38,0.859,0.377
4614,Neosho,6.13,0.601,0.14,0.383,0.676,0.439
4616,Ness,2.86,0.726,0.188,0.23,0.558,0.42
4618,Norton,2.5,0.686,0.259,0.271,0.728,0.323
4620,Osage,6.423,0.709,0.134,0.41,0.58,0.4
4622,Osborne,2.731,0.759,0.216,0.215,0.688,0.346
4624,Ottawa,11.483,0.787,0.101,0.324,0.838,0.394
4626,Pawnee,2.831,0.522,0.161,0.244,0.69,0.354
4628,Phillips,3.888,0.743,0.226,0.302,0.787,0.337
4630,Pottawatomie,9.454,0.73,0.124,0.478,0.739,0.358
4632,Pratt,2.532,0.742,0.314,0.311,0.719,0.338
4634,Rawlins,2.903,0.678,0.129,0.211,0.672,0.273
4636,Reno,4.696,0.77,0.246,0.466,0.679,0.375
4638,Republic,3.982,0.754,0.182,0.29,0.705,0.327
4640,Rice,4.229,0.73,0.168,0.326,0.585,0.388
4642,Riley,3.611,0.683,0.225,0.437,0.508,0.417
4644,Rooks,3.003,0.704,0.232,0.283,0.705,0.346
4646,Rush,3.069,0.584,0.204,0.351,0.679,0.325
4648,Russell,3.278,0.674,0.136,0.272,0.564,0.337
4650,Saline,7.297,0.766,0.172,0.449,0.67,0.458
4652,Scott,4.089,0.572,0.144,0.269,0.761,0.332
4654,Sedgwick,1.459,0.604,0.795,0.714,0.559,0.372
4656,Seward,1.377,0.522,0.241,0.373,0.509,0.262
4658,Shawnee,2.335,0.628,0.358,0.447,0.61,0.382
4660,Sheridan,2.996,0.74,0.188,0.274,0.71,0.259
4662,Sherman,4.047,0.734,0.178,0.277,0.72,0.336
4664,Smith,2.155,0.718,0.257,0.221,0.689,0.337
4666,Stafford,1.674,0.716,0.205,0.227,0.604,0.279
4668,Stanton,3.661,0.664,0.097,0.253,0.5,0.358
4670,Stevens,2.249,0.677,0.106,0.268,0.498,0.267
4672,Sumner,5.097,0.647,0.193,0.467,0.65,0.404
4674,Thomas,5.368,0.651,0.166,0.389,0.76,0.342
4676,Trego,2.723,0.689,0.289,0.257,0.791,0.367
4678,Wabaunsee,12.348,0.809,0.107,0.418,0.828,0.361
4680,Wallace,1.208,0.687,0.175,0.224,0.519,0.282
4682,Washington,9.922,0.708,0.096,0.31,0.805,0.379
4684,Wichita,7.151,0.856,0.092,0.23,0.664,0.344
4686,Wilson,6.477,0.719,0.135,0.283,0.735,0.414
4688,Woodson,1.478,0.83,0.214,0.135,0.581,0.358
4690,Wyandotte,0.32,0.654,0.653,0.294,0.454,0.262
4692,Missouri,4.396,0.626,0.206,0.399,0.53,0.389
4694,Adair,6.492,0.622,0.113,0.404,0.488,0.466
4696,Andrew,7.454,0.739,0.116,0.379,0.551,0.435
4698,Atchison,7.979,0.706,0.089,0.326,0.585,0.401
4700,Audrain,8.086,0.592,0.108,0.456,0.623,0.422
4702,Barry,2.697,0.508,0.208,0.466,0.489,0.366
4704,Barton,2.694,0.648,0.246,0.35,0.545,0.414
4706,Bates,5.285,0.703,0.161,0.407,0.478,0.483
4708,Benton,4.953,0.519,0.147,0.44,0.517,0.494
4710,Bollinger,2.108,0.612,0.179,0.327,0.467,0.336
4712,Boone,2.924,0.691,0.36,0.596,0.501,0.387
4714,Buchanan,3.561,0.673,0.199,0.362,0.53,0.426
4716,Butler,2.165,0.46,0.248,0.441,0.511,0.401
4718,Caldwell,9.203,0.724,0.081,0.333,0.554,0.428
4720,Callaway,7.77,0.72,0.137,0.574,0.552,0.351
4722,Camden,3.593,0.587,0.206,0.533,0.584,0.282
4724,Cape Girardeau,2.423,0.504,0.338,0.54,0.664,0.358
4726,Carroll,6.187,0.699,0.104,0.333,0.579,0.365
4728,Carter,1.103,0.523,0.379,0.329,0.367,0.489
4730,Cass,3.888,0.71,0.297,0.6,0.598,0.348
4732,Cedar,2.637,0.648,0.296,0.306,0.629,0.469
4734,Chariton,6.389,0.692,0.105,0.329,0.571,0.395
4736,Christian,2.468,0.59,0.339,0.483,0.609,0.381
4738,Clark,2.241,0.802,0.178,0.287,0.341,0.432
4740,Clay,1.049,0.634,0.752,0.49,0.543,0.355
4742,Clinton,9.805,0.773,0.104,0.387,0.649,0.412
4744,Cole,3.431,0.545,0.249,0.483,0.694,0.373
4746,Cooper,6.827,0.615,0.107,0.395,0.583,0.403
4748,Crawford,5.373,0.599,0.136,0.395,0.589,0.409
4750,Dade,2.087,0.605,0.151,0.24,0.427,0.424
4752,Dallas,2.552,0.553,0.159,0.357,0.447,0.368
4754,Daviess,6.875,0.799,0.119,0.343,0.54,0.425
4756,DeKalb,7.42,0.719,0.108,0.381,0.496,0.458
4758,Dent,6.137,0.666,0.103,0.293,0.575,0.422
4760,Douglas,2.476,0.583,0.154,0.323,0.377,0.427
4762,Dunklin,2.678,0.533,0.177,0.382,0.423,0.423
4764,Franklin,2.56,0.61,0.388,0.601,0.59,0.354
4766,Gasconade,4.424,0.541,0.109,0.31,0.621,0.345
4768,Gentry,3.086,0.771,0.215,0.229,0.651,0.396
4770,Greene,1.034,0.6,0.674,0.541,0.518,0.285
4772,Grundy,6.222,0.669,0.111,0.297,0.663,0.382
4774,Harrison,6.562,0.769,0.102,0.305,0.574,0.377
4776,Henry,7.539,0.621,0.128,0.419,0.586,0.524
4778,Hickory,3.216,0.529,0.113,0.335,0.367,0.437
4780,Holt,8.481,0.737,0.1,0.292,0.688,0.416
4782,Howard,5.567,0.712,0.105,0.282,0.58,0.379
4784,Howell,4.298,0.516,0.161,0.432,0.611,0.403
4786,Iron,1.639,0.555,0.287,0.314,0.448,0.461
4788,Jackson,1.604,0.689,0.709,0.723,0.491,0.309
4790,Jasper,1.313,0.605,0.658,0.614,0.46,0.362
4792,Jefferson,1.578,0.6,0.59,0.609,0.564,0.333
4794,Johnson,6.269,0.619,0.148,0.572,0.524,0.385
4796,Knox,1.448,0.747,0.148,0.24,0.378,0.368
4798,Laclede,3.111,0.626,0.17,0.41,0.474,0.333
4800,Lafayette,9.829,0.724,0.112,0.466,0.711,0.36
4802,Lawrence,2.496,0.549,0.259,0.406,0.591,0.38
4804,Lewis,3.442,0.702,0.187,0.323,0.548,0.398
4806,Lincoln,3.926,0.654,0.24,0.535,0.539,0.388
4808,Linn,6.916,0.705,0.106,0.37,0.534,0.408
4810,Livingston,5.838,0.624,0.104,0.319,0.636,0.357
4812,Macon,10.47,0.707,0.112,0.466,0.666,0.45
4814,Madison,2.432,0.581,0.198,0.33,0.492,0.399
4816,Maries,2.43,0.503,0.134,0.357,0.467,0.317
4818,Marion,4.559,0.597,0.152,0.395,0.578,0.396
4820,McDonald,1.812,0.528,0.163,0.387,0.447,0.264
4822,Mercer,2.984,0.736,0.087,0.177,0.498,0.367
4824,Miller,5.434,0.608,0.121,0.48,0.545,0.297
4826,Mississippi,0.858,0.624,0.329,0.31,0.347,0.384
4828,Moniteau,7.139,0.657,0.109,0.366,0.658,0.372
4830,Monroe,6.691,0.692,0.123,0.325,0.622,0.448
4832,Montgomery,7.41,0.702,0.105,0.38,0.573,0.396
4834,Morgan,5.19,0.628,0.125,0.455,0.485,0.354
4836,New Madrid,1.324,0.553,0.325,0.418,0.393,0.362
4838,Newton,2.345,0.589,0.318,0.526,0.542,0.326
4840,Nodaway,10.017,0.623,0.099,0.509,0.601,0.429
4842,Oregon,2.033,0.48,0.178,0.271,0.451,0.465
4844,Osage,9.39,0.615,0.094,0.407,0.79,0.322
4846,Ozark,2.437,0.462,0.187,0.332,0.57,0.399
4848,Pemiscot,1.461,0.595,0.235,0.31,0.396,0.397
4850,Perry,4.027,0.644,0.191,0.333,0.752,0.338
4852,Pettis,5.253,0.672,0.16,0.444,0.53,0.418
4854,Phelps,5.511,0.606,0.136,0.502,0.51,0.364
4856,Pike,5.451,0.628,0.138,0.402,0.538,0.433
4858,Platte,2.349,0.737,0.384,0.495,0.523,0.357
4860,Polk,4.151,0.563,0.16,0.404,0.548,0.417
4862,Pulaski,1.882,0.567,0.293,0.481,0.388,0.378
4864,Putnam,2.93,0.607,0.079,0.275,0.399,0.351
4866,Ralls,6.976,0.705,0.127,0.388,0.608,0.418
4868,Randolph,7.289,0.636,0.112,0.414,0.64,0.375
4870,Ray,7.713,0.668,0.1,0.38,0.563,0.421
4872,Reynolds,3.532,0.48,0.15,0.323,0.574,0.453
4874,Ripley,2.095,0.487,0.141,0.263,0.385,0.467
4876,Saline,5.479,0.632,0.108,0.364,0.536,0.37
4878,Schuyler,4.128,0.751,0.071,0.282,0.391,0.353
4880,Scotland,1.08,0.715,0.164,0.211,0.357,0.4
4882,Scott,2.253,0.563,0.274,0.431,0.557,0.347
4884,Shannon,3.294,0.694,0.152,0.339,0.317,0.486
4886,Shelby,10.041,0.741,0.08,0.348,0.581,0.412
4888,St. Charles,1.249,0.668,0.796,0.558,0.602,0.333
4890,St. Clair,5.508,0.681,0.126,0.296,0.471,0.533
4892,St. Francois,2.232,0.545,0.271,0.446,0.493,0.388
4894,St. Louis,0.737,0.59,0.853,0.62,0.53,0.152
4896,St. Louis city,-0.589,0.625,0.597,0.254,0.374,0.01
4898,Ste. Genevieve,4.631,0.478,0.12,0.397,0.632,0.35
4900,Stoddard,3.068,0.523,0.169,0.452,0.446,0.37
4902,Stone,4.621,0.556,0.179,0.477,0.587,0.431
4904,Sullivan,6.698,0.705,0.082,0.331,0.463,0.4
4906,Taney,2.378,0.48,0.298,0.569,0.413,0.468
4908,Texas,8.409,0.685,0.099,0.441,0.536,0.402
4910,Vernon,9.54,0.675,0.103,0.424,0.587,0.477
4912,Warren,3.698,0.623,0.179,0.46,0.491,0.355
4914,Washington,4.494,0.579,0.151,0.369,0.514,0.479
4916,Wayne,1.899,0.479,0.237,0.344,0.45,0.463
4918,Webster,4.367,0.572,0.151,0.498,0.574,0.283
4920,Worth,2.938,0.688,0.107,0.248,0.417,0.398
4922,Wright,4.457,0.535,0.117,0.367,0.5,0.413
4924,Nebraska,3.572,0.714,0.226,0.311,0.613,0.34
4926,Adams,2.943,0.678,0.289,0.361,0.62,0.436
4928,Antelope,8.791,0.702,0.079,0.283,0.753,0.308
4930,Arthur,-0.202,0.666,0.186,0.119,0.535,0.234
4932,Banner,-3.158,0.914,0.153,0.171,0.236,0.224
4934,Blaine,0.24,0.749,0.353,0.153,0.477,0.312
4936,Boone,8.097,0.701,0.077,0.306,0.681,0.299
4938,Box Butte,3.848,0.522,0.118,0.318,0.636,0.314
4940,Boyd,0.631,0.797,0.407,0.191,0.586,0.27
4942,Brown,2.198,0.646,0.272,0.196,0.818,0.323
4944,Buffalo,3.869,0.662,0.282,0.51,0.736,0.344
4946,Burt,7.826,0.725,0.082,0.252,0.659,0.376
4948,Butler,8.718,0.752,0.124,0.355,0.723,0.435
4950,Cass,6.888,0.674,0.13,0.498,0.588,0.342
4952,Cedar,3.89,0.704,0.257,0.395,0.737,0.374
4954,Chase,2.106,0.754,0.232,0.326,0.473,0.345
4956,Cherry,2.919,0.737,0.264,0.367,0.627,0.339
4958,Cheyenne,6.465,0.702,0.116,0.367,0.678,0.311
4960,Clay,2.581,0.81,0.416,0.313,0.614,0.523
4962,Colfax,6.004,0.76,0.087,0.313,0.467,0.38
4964,Cuming,8.769,0.676,0.096,0.332,0.719,0.387
4966,Custer,4.087,0.763,0.234,0.471,0.724,0.234
4968,Dakota,4.885,0.796,0.137,0.352,0.446,0.416
4970,Dawes,3.361,0.664,0.15,0.251,0.681,0.306
4972,Dawson,3.121,0.723,0.218,0.395,0.641,0.255
4974,Deuel,2.484,0.681,0.13,0.278,0.449,0.347
4976,Dixon,5.098,0.771,0.124,0.336,0.531,0.359
4978,Dodge,7.063,0.726,0.143,0.431,0.623,0.416
4980,Douglas,0.929,0.723,0.81,0.589,0.555,0.155
4982,Dundy,2.753,0.699,0.121,0.275,0.502,0.307
4984,Fillmore,2.693,0.699,0.388,0.322,0.8,0.433
4986,Franklin,0.73,0.78,0.268,0.191,0.538,0.279
4988,Frontier,1.814,0.809,0.254,0.233,0.558,0.347
4990,Furnas,2.925,0.794,0.319,0.394,0.64,0.353
4992,Gage,3.087,0.711,0.264,0.392,0.689,0.303
4994,Garden,0.845,0.718,0.294,0.234,0.521,0.285
4996,Garfield,0.877,0.536,0.196,0.234,0.531,0.266
4998,Gosper,1.825,0.687,0.311,0.28,0.642,0.333
5000,Grant,0.543,0.829,0.235,0.154,0.533,0.283
5002,Greeley,1.044,0.618,0.329,0.257,0.601,0.281
5004,Hall,3.229,0.719,0.295,0.439,0.691,0.325
5006,Hamilton,4.716,0.675,0.246,0.379,0.747,0.503
5008,Harlan,1.736,0.744,0.279,0.239,0.532,0.395
5010,Hayes,-1.461,0.661,0.196,0.121,0.284,0.279
5012,Hitchcock,0.529,0.805,0.185,0.241,0.4,0.282
5014,Holt,3.921,0.732,0.274,0.388,0.889,0.278
5016,Hooker,0.468,0.662,0.242,0.214,0.415,0.319
5018,Howard,2.695,0.781,0.181,0.256,0.571,0.334
5020,Jefferson,2.609,0.743,0.289,0.293,0.681,0.365
5022,Johnson,5.632,0.735,0.116,0.298,0.673,0.312
5024,Kearney,3.51,0.785,0.3,0.323,0.708,0.443
5026,Keith,4.476,0.727,0.164,0.375,0.686,0.269
5028,Keya Paha,-0.18,0.761,0.288,0.179,0.372,0.294
5030,Kimball,0.305,0.617,0.219,0.136,0.509,0.304
5032,Knox,4.803,0.754,0.23,0.418,0.673,0.419
5034,Lancaster,2.165,0.654,0.594,0.636,0.631,0.419
5036,Lincoln,4.963,0.663,0.198,0.551,0.663,0.289
5038,Logan,0.16,0.769,0.318,0.194,0.551,0.19
5040,Loup,-0.262,0.65,0.258,0.177,0.433,0.233
5042,Madison,7.83,0.635,0.114,0.382,0.763,0.361
5044,McPherson,-0.238,0.796,0.279,0.149,0.483,0.233
5046,Merrick,4.054,0.7,0.172,0.285,0.679,0.367
5048,Morrill,3.522,0.709,0.115,0.37,0.502,0.243
5050,Nance,3.205,0.646,0.152,0.293,0.595,0.328
5052,Nemaha,5.621,0.766,0.081,0.226,0.569,0.357
5054,Nuckolls,2.071,0.651,0.213,0.199,0.63,0.37
5056,Otoe,4.18,0.689,0.255,0.391,0.795,0.384
5058,Pawnee,8.506,0.777,0.058,0.266,0.567,0.331
5060,Perkins,7.398,0.778,0.128,0.33,0.763,0.34
5062,Phelps,4.864,0.635,0.155,0.262,0.725,0.432
5064,Pierce,18.224,0.697,0.053,0.299,0.826,0.388
5066,Platte,6.302,0.62,0.145,0.431,0.736,0.359
5068,Polk,3.854,0.763,0.238,0.317,0.69,0.407
5070,Red Willow,6.064,0.691,0.104,0.313,0.677,0.305
5072,Richardson,11.722,0.703,0.074,0.31,0.719,0.408
5074,Rock,1.764,0.763,0.183,0.242,0.52,0.308
5076,Saline,2.502,0.64,0.272,0.346,0.598,0.392
5078,Sarpy,1.376,0.699,0.509,0.353,0.595,0.363
5080,Saunders,8.828,0.753,0.14,0.453,0.708,0.423
5082,Scotts Bluff,2.511,0.694,0.392,0.47,0.716,0.309
5084,Seward,7.622,0.748,0.16,0.417,0.772,0.408
5086,Sheridan,1.008,0.62,0.319,0.279,0.595,0.247
5088,Elbert,7.716,0.682,0.132,0.579,0.657,0.269
5090,Fremont,6.408,0.712,0.155,0.498,0.527,0.418
5092,Garfield,13.115,0.73,0.131,0.707,0.688,0.454
5094,Gilpin,2.399,0.642,0.274,0.387,0.528,0.388
5096,Grand,10.719,0.678,0.139,0.612,0.779,0.419
5098,Gunnison,14.46,0.698,0.102,0.515,0.786,0.484
5100,Hinsdale,5.888,0.658,0.092,0.273,0.428,0.509
5102,Huerfano,2.542,0.614,0.168,0.352,0.455,0.351
5104,Jackson,1.676,0.747,0.148,0.257,0.369,0.375
5106,Jefferson,2.42,0.71,0.553,0.647,0.625,0.379
5108,Kiowa,1.755,0.764,0.168,0.276,0.449,0.312
5110,Kit Carson,6.676,0.741,0.125,0.382,0.709,0.29
5112,La Plata,10.01,0.632,0.151,0.642,0.705,0.526
5114,Lake,5.463,0.585,0.101,0.179,0.585,0.535
5116,Larimer,4.329,0.686,0.38,0.856,0.591,0.388
5118,Las Animas,4.434,0.667,0.154,0.402,0.588,0.324
5120,Lincoln,4.704,0.61,0.133,0.416,0.485,0.391
5122,Logan,5.218,0.652,0.154,0.541,0.569,0.275
5124,Mesa,10.071,0.659,0.169,0.729,0.615,0.582
5126,Mineral,5.089,0.772,0.119,0.294,0.335,0.546
5128,Moffat,7.379,0.65,0.125,0.406,0.612,0.46
5130,Montezuma,8.637,0.713,0.134,0.488,0.55,0.506
5132,Montrose,8.539,0.645,0.163,0.605,0.636,0.524
5134,Morgan,2.492,0.655,0.234,0.474,0.541,0.23
5136,Otero,5.376,0.627,0.133,0.373,0.506,0.468
5138,Ouray,15.737,0.755,0.073,0.411,0.681,0.442
5140,Park,8.188,0.767,0.171,0.511,0.708,0.436
5142,Phillips,3.286,0.743,0.13,0.293,0.528,0.307
5144,Pitkin,14.512,0.643,0.076,0.498,0.604,0.485
5146,Prowers,2.25,0.718,0.229,0.308,0.582,0.306
5148,Pueblo,4.69,0.612,0.199,0.631,0.516,0.337
5150,Rio Blanco,4.625,0.526,0.127,0.323,0.53,0.495
5152,Rio Grande,2.079,0.645,0.313,0.404,0.542,0.353
5154,Routt,12.139,0.64,0.124,0.663,0.771,0.435
5156,Saguache,6.258,0.655,0.109,0.415,0.461,0.419
5158,San Juan,9.96,0.686,0.079,0.296,0.387,0.647
5160,San Miguel,14.215,0.714,0.093,0.475,0.668,0.517
5162,Sedgwick,2.38,0.794,0.126,0.249,0.478,0.316
5164,Summit,11.825,0.705,0.126,0.561,0.764,0.453
5166,Teller,6.861,0.663,0.168,0.505,0.65,0.452
5168,Washington,1.819,0.657,0.264,0.334,0.545,0.313
5170,Weld,5.504,0.703,0.302,0.971,0.523,0.305
5172,Yuma,4.707,0.619,0.162,0.447,0.649,0.312
5174,Montana,7.261,0.676,0.135,0.381,0.638,0.402
5176,Beaverhead,13.121,0.613,0.083,0.412,0.798,0.45
5178,Big Horn,3.627,0.628,0.213,0.351,0.439,0.583
5180,Blaine,5.237,0.585,0.132,0.38,0.539,0.45
5182,Broadwater,9.538,0.722,0.091,0.323,0.626,0.451
5184,Carbon,10.193,0.682,0.135,0.482,0.831,0.448
5186,Carter,2.584,0.745,0.128,0.247,0.488,0.337
5188,Cascade,10.85,0.695,0.12,0.648,0.602,0.391
5190,Chouteau,8.263,0.773,0.14,0.399,0.809,0.343
5192,Custer,7.608,0.719,0.132,0.383,0.82,0.311
5194,Daniels,17.054,0.668,0.056,0.292,0.79,0.443
5196,Dawson,6.029,0.697,0.13,0.352,0.741,0.296
5198,Deer Lodge,7.24,0.604,0.08,0.233,0.516,0.541
5200,Fallon,6.854,0.61,0.083,0.311,0.729,0.274
5202,Fergus,6.782,0.653,0.129,0.407,0.767,0.307
5204,Flathead,17.476,0.681,0.114,0.827,0.697,0.545
5206,Gallatin,4.544,0.661,0.354,0.657,0.776,0.469
5208,Garfield,1.114,0.711,0.375,0.271,0.54,0.327
5210,Glacier,5.527,0.671,0.113,0.335,0.42,0.494
5212,Golden Valley,-2.188,0.755,0.084,0.216,0.249,0.281
5214,Granite,12.836,0.684,0.06,0.321,0.56,0.476
5216,Hill,5.675,0.696,0.114,0.33,0.683,0.288
5218,Jefferson,12.768,0.647,0.093,0.523,0.756,0.387
5220,Judith Basin,3.355,0.614,0.129,0.24,0.565,0.388
5222,Lake,10.369,0.704,0.116,0.481,0.59,0.515
5224,Lewis and Clark,8.309,0.519,0.133,0.591,0.725,0.458
5226,Liberty,3.548,0.576,0.073,0.271,0.503,0.299
5228,Lincoln,15.805,0.686,0.078,0.507,0.645,0.478
5230,Madison,9.159,0.593,0.126,0.485,0.69,0.525
5232,McCone,2.899,0.47,0.215,0.31,0.833,0.351
5234,Meagher,3.488,0.59,0.101,0.289,0.39,0.432
5236,Mineral,11.915,0.828,0.108,0.297,0.589,0.654
5238,Missoula,11.079,0.632,0.114,0.616,0.642,0.442
5240,Musselshell,2.098,0.589,0.136,0.224,0.586,0.299
5242,Park,7.051,0.696,0.151,0.42,0.756,0.375
5244,Petroleum,0.73,0.937,0.311,0.177,0.354,0.437
5246,Phillips,5.272,0.589,0.19,0.369,0.735,0.516
5248,Pondera,7.994,0.797,0.098,0.319,0.576,0.409
5250,Powder River,4.39,0.709,0.123,0.27,0.622,0.332
5252,Powell,8.571,0.665,0.086,0.276,0.622,0.468
5254,Prairie,1.788,0.829,0.206,0.206,0.51,0.363
5256,Ravalli,15.261,0.671,0.074,0.488,0.6,0.493
5258,Richland,6.808,0.713,0.106,0.383,0.6,0.331
5260,Roosevelt,7.104,0.643,0.153,0.455,0.514,0.595
5262,Rosebud,4.977,0.684,0.163,0.5,0.558,0.308
5264,Sanders,12.309,0.648,0.103,0.542,0.691,0.473
5266,Sheridan,8.163,0.776,0.121,0.29,0.867,0.323
5268,Silver Bow,9.403,0.593,0.079,0.348,0.682,0.401
5270,Stillwater,5.569,0.721,0.154,0.419,0.634,0.337
5272,Sweet Grass,6.61,0.774,0.125,0.315,0.723,0.33
5274,Teton,12.979,0.766,0.106,0.386,0.865,0.432
5276,Toole,11.51,0.575,0.048,0.299,0.773,0.263
5278,Treasure,0.578,0.752,0.093,0.232,0.405,0.267
5280,Valley,5.15,0.688,0.266,0.45,0.912,0.407
5282,Wheatland,3.603,0.657,0.109,0.268,0.574,0.308
5284,Wibaux,1.488,0.661,0.168,0.197,0.573,0.296
5286,Yellowstone,4.539,0.631,0.254,0.696,0.635,0.294
5288,North Dakota,6.297,0.704,0.15,0.374,0.662,0.354
5290,Adams,3.39,0.692,0.183,0.311,0.743,0.248
5292,Barnes,8.808,0.744,0.121,0.445,0.711,0.345
5294,Benson,3.761,0.714,0.223,0.408,0.484,0.461
5296,Billings,3.551,0.704,0.171,0.256,0.47,0.511
5298,Bottineau,8.025,0.636,0.121,0.391,0.743,0.417
5300,Bowman,11.045,0.773,0.107,0.327,0.99,0.291
5302,Burke,4.497,0.679,0.108,0.307,0.637,0.262
5304,Burleigh,2.759,0.632,0.361,0.53,0.727,0.3
5306,Cass,5.27,0.676,0.268,0.707,0.623,0.4
5308,Cavalier,10.329,0.718,0.122,0.363,0.867,0.442
5310,Dickey,6.871,0.665,0.123,0.363,0.716,0.367
5312,Divide,6.62,0.509,0.082,0.33,0.814,0.238
5314,Dunn,7.432,0.854,0.139,0.304,0.771,0.358
5316,Eddy,3.112,0.655,0.103,0.216,0.496,0.382
5318,Emmons,7.81,0.715,0.117,0.348,0.843,0.282
5320,Foster,4.951,0.665,0.154,0.303,0.674,0.413
5322,Golden Valley,5.864,0.726,0.095,0.251,0.568,0.4
5324,Grand Forks,4.824,0.687,0.21,0.525,0.581,0.379
5326,Grant,1.695,0.792,0.184,0.276,0.496,0.277
5328,Griggs,3.42,0.773,0.157,0.304,0.62,0.271
5330,Hettinger,5.211,0.799,0.122,0.279,0.719,0.261
5332,Kidder,2.434,0.674,0.197,0.301,0.641,0.265
5334,LaMoure,7.631,0.75,0.116,0.405,0.655,0.333
5336,Logan,4.278,0.869,0.163,0.308,0.695,0.25
5338,McHenry,10.658,0.777,0.092,0.405,0.681,0.343
5340,McIntosh,7.004,0.768,0.113,0.318,0.736,0.3
5342,McKenzie,8.078,0.74,0.139,0.418,0.671,0.443
5344,McLean,12.784,0.736,0.115,0.51,0.843,0.399
5346,Mercer,7.241,0.645,0.125,0.487,0.676,0.314
5348,Morton,4.452,0.723,0.27,0.585,0.757,0.252
5350,Mountrail,5.548,0.666,0.138,0.412,0.575,0.376
5352,Nelson,5.221,0.769,0.209,0.384,0.735,0.386
5354,Oliver,2.851,0.777,0.107,0.279,0.49,0.279
5356,Pembina,14.56,0.741,0.11,0.483,0.9,0.445
5358,Pierce,6.007,0.676,0.087,0.257,0.657,0.323
5360,Ramsey,6.282,0.669,0.174,0.344,0.873,0.408
5362,Ransom,5.189,0.729,0.168,0.335,0.767,0.324
5364,Renville,2.631,0.645,0.17,0.266,0.609,0.321
5366,Richland,5.391,0.502,0.139,0.469,0.689,0.36
5368,Rolette,10.493,0.66,0.09,0.376,0.646,0.472
5370,Sargent,2.723,0.725,0.303,0.33,0.729,0.336
5372,Sheridan,1.439,0.717,0.105,0.225,0.371,0.359
5374,Sioux,0.75,0.757,0.261,0.276,0.065,0.567
5376,Slope,1.008,0.691,0.172,0.183,0.378,0.415
5378,Stark,9.522,0.626,0.1,0.51,0.742,0.289
5380,Steele,0.736,0.582,0.305,0.296,0.381,0.345
5382,Stutsman,10.604,0.667,0.1,0.496,0.723,0.345
5384,Towner,7.883,0.701,0.093,0.339,0.618,0.377
5386,Traill,8.261,0.776,0.135,0.387,0.744,0.383
5388,Walsh,10.24,0.726,0.102,0.416,0.709,0.383
5390,Ward,13.23,0.652,0.093,0.631,0.656,0.373
5392,Wells,9.729,0.713,0.092,0.345,0.727,0.371
5394,Williams,9.614,0.645,0.098,0.52,0.665,0.313
5396,South Dakota,5.682,0.703,0.142,0.314,0.608,0.377
5398,Aurora,6.86,0.724,0.09,0.252,0.824,0.229
5400,Beadle,4.584,0.632,0.145,0.36,0.753,0.248
5402,Bennett,2.133,0.557,0.151,0.212,0.33,0.555
5404,Bon Homme,10.296,0.759,0.097,0.341,0.776,0.358
5406,Brookings,8.765,0.613,0.103,0.463,0.634,0.403
5408,Brown,7.951,0.746,0.143,0.462,0.819,0.278
5410,Brule,5.575,0.73,0.144,0.267,0.767,0.358
5412,Buffalo,-1.278,0.766,0.12,0.248,0.011,0.454
5414,Butte,3.198,0.675,0.16,0.27,0.625,0.33
5416,Campbell,-1.077,0.674,0.078,0.204,0.306,0.297
5418,Charles Mix,7.444,0.739,0.129,0.383,0.574,0.466
